,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,192448,207521,236699,252382,291835,409075,403352
1,1,86052,75569,85677,92177,115392,200989,215187
2,2,46974,43124,46947,49197,61146,109684,118208
3,3,38208,39261,41336,43600,47813,67091,72894
4,4,82304,88157,88102,87921,89673,69482,66903
5,5,324165,367486,367899,363371,341661,117828,88455
6,6,801849,932865,923241,899808,799674,247794,177000
7,7,1431127,1747908,1717367,1645544,1347328,376216,276376
8,8,1749439,2300514,2266907,2142012,1511028,492208,386300
9,9,1226130,1575075,1546597,1506410,1137407,641466,553943
10,10,919899,1024146,1023303,1025731,940157,778744,692141
11,11,897323,957733,965861,981014,963522,920004,835024
12,12,974424,1027198,1048682,1064290,1076700,1034752,939613
13,13,1088168,1144235,1181498,1167854,1232623,1115766,1000918
14,14,1295091,1387541,1410412,1415256,1507021,1194575,1060308
15,15,1693209,1863619,1851157,1877074,1902378,1290198,1114469
16,16,2114182,2467246,2506392,2436912,2198184,1417215,1175749
17,17,2688994,3458288,3456441,3272184,2418526,1373922,1216280
18,18,2020490,2559804,2578225,2500659,1902261,1252562,1104808
19,19,1272033,1533448,1572325,1566254,1379554,1083774,890937
20,20,952466,1116205,1139316,1171383,1062374,886892,738423
21,21,761706,1001701,974922,1056755,931424,795027,655056
22,22,601839,783557,831582,856413,940420,861699,530235
23,23,377956,463192,500902,527266,663211,634475,350046
