,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,195147,217173,249521,265724,307015,444381,436164
1,1,82615,73371,84505,91568,115813,215905,232878
2,2,44609,41305,45009,47109,60959,118216,127816
3,3,33612,36387,39349,41009,45706,67430,76188
4,4,70889,81732,82462,81446,84024,64288,64859
5,5,303896,340375,342323,336840,317744,105380,81755
6,6,757481,879806,872142,853612,766915,219823,164726
7,7,1443220,1742600,1714906,1650565,1383338,344638,261137
8,8,1821169,2347452,2313808,2202566,1606475,466072,376632
9,9,1255020,1581425,1565158,1523063,1180382,611301,530586
10,10,945776,1054933,1056122,1059747,978843,745599,674204
11,11,926913,992501,998256,1015050,1001020,885148,811358
12,12,1027564,1093477,1111529,1124628,1134378,1019841,952913
13,13,1174558,1239063,1278307,1258108,1333779,1132177,1030412
14,14,1425563,1522425,1533731,1534210,1652655,1240582,1115679
15,15,1812848,1974990,1963374,1987662,2041105,1417892,1226518
16,16,2171739,2480011,2514013,2459045,2282364,1566357,1365424
17,17,2816344,3486268,3478296,3323873,2543215,1531630,1397195
18,18,2177844,2690541,2689844,2612692,2040261,1349797,1200747
19,19,1371699,1623677,1662548,1658977,1491234,1177839,946979
20,20,1035932,1208255,1233543,1262981,1169468,957959,787800
21,21,855045,1153347,1107054,1195837,1114385,861646,680573
22,22,657750,873259,938994,973993,1061961,919755,557182
23,23,394780,486996,544596,559694,729040,713554,373916
