,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,203829,219986,251604,270074,313491,449119,445600
1,1,88781,77993,88963,96625,121959,217571,235948
2,2,47145,43047,46986,50451,63704,118516,129402
3,3,36003,36413,38430,41820,46640,70681,78720
4,4,64710,67695,67701,68680,72306,65542,66330
5,5,257622,291409,291710,288931,271634,102994,80505
6,6,697197,811176,801229,780267,692151,225722,168086
7,7,1370773,1682520,1651079,1576872,1280874,360435,269928
8,8,1870254,2493059,2451135,2308963,1592671,503068,402726
9,9,1337192,1742178,1708515,1662836,1236770,696854,602598
10,10,1004532,1129663,1124891,1131424,1036823,864208,776028
11,11,988338,1060643,1065962,1086783,1074028,1030301,949701
12,12,1086522,1145610,1172734,1189705,1216785,1176562,1086658
13,13,1212879,1272905,1322960,1301628,1395212,1279940,1159207
14,14,1478201,1584845,1606712,1611821,1727422,1365058,1229631
15,15,1965012,2158903,2134466,2173392,2207358,1474473,1287839
16,16,2415036,2814079,2848079,2783192,2519245,1627162,1361764
17,17,3031075,3876932,3869139,3687272,2762226,1604682,1419660
18,18,2273808,2884702,2903203,2828939,2179491,1436205,1248621
19,19,1426687,1722138,1771323,1770503,1582212,1237254,987822
20,20,1055670,1244120,1273190,1315460,1199651,990951,810901
21,21,836989,1109983,1084104,1180028,1041215,880400,715449
22,22,657857,859734,924683,953341,1042325,955847,579398
23,23,412914,509933,553826,587361,742063,707070,381297
