,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,191168,213630,246900,260633,300452,434610,423377
1,1,81346,72376,83595,90113,114183,212117,226611
2,2,44682,41653,45645,47568,60589,116817,125287
3,3,35211,38317,41369,42737,47399,67903,75692
4,4,79522,90560,90841,90880,92772,68300,66922
5,5,325048,361223,362285,358558,340576,111770,85017
6,6,755890,868294,862007,844638,768893,232049,171347
7,7,1341382,1595132,1572061,1517106,1296635,354988,268380
8,8,1578275,1982969,1955554,1873535,1420218,459688,371378
9,9,1102802,1355101,1342799,1308362,1045121,588921,515786
10,10,850658,931484,930964,933726,872529,691455,624431
11,11,819558,871629,871243,889325,877270,791531,717525
12,12,903560,960866,967112,983225,992876,891191,824310
13,13,1037770,1095835,1127640,1112469,1178412,988489,891191
14,14,1255944,1345104,1362349,1357308,1464977,1096406,971897
15,15,1595348,1744445,1741325,1754155,1799450,1264534,1081319
16,16,1933815,2220374,2261171,2193669,2024995,1405184,1215701
17,17,2567221,3210094,3207906,3035543,2260194,1347015,1235218
18,18,2002683,2482819,2483456,2398341,1813668,1217496,1095354
19,19,1260901,1495760,1530812,1524808,1337720,1074920,881674
20,20,959200,1117317,1142416,1170138,1069620,892026,745468
21,21,812744,1101519,1050341,1140601,1052886,817051,651398
22,22,631997,839301,898587,933788,1027683,881944,535505
23,23,379748,465318,521943,535577,700762,685291,358959
