,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,772989,863109,977401,1037282,1199839,1785145,1736151
1,1,339305,319764,357065,383091,479145,887847,944499
2,2,213522,208500,219569,231257,283864,512053,551963
3,3,243149,249794,252836,260729,283620,359932,385115
4,4,691469,747334,742915,745428,736310,472267,425784
5,5,2520163,2801282,2792040,2765110,2618627,960661,703205
6,6,5645025,6489953,6441350,6299809,5710496,1906582,1340443
7,7,10764363,12990707,12803079,12326803,10423411,2864400,2004747
8,8,12684483,16388183,16195641,15371315,11315117,3621900,2710346
9,9,8157889,10177495,10139194,9898317,7759134,4350629,3594073
10,10,5983000,6655684,6691996,6692800,6161530,4961515,4403885
11,11,5601561,5960595,6081727,6098653,5985191,5618402,5037152
12,12,6007203,6305217,6474295,6481782,6584025,6290537,5668216
13,13,6747514,7050836,7247838,7177096,7531215,6822442,6113976
14,14,8169850,8705537,8788236,8798162,9306953,7154997,6367542
15,15,10298010,11245633,11062279,11265973,11350753,7567358,6482623
16,16,11892956,13437109,13343441,13310441,12332229,7739090,6605121
17,17,14014639,17004480,16889831,16404078,13174454,7582807,6427901
18,18,10556027,12784203,12774347,12586734,10483184,6999573,5725149
19,19,6656033,7723752,7887037,7960495,7536908,5981674,4517353
20,20,4840867,5564866,5632923,5842563,5595381,4655088,3654515
21,21,3701331,4527833,4488526,4779118,4656348,3974156,3076763
22,22,2818097,3512656,3627596,3830111,4193374,3760301,2474706
23,23,1704127,2044800,2169013,2352410,3022898,2857440,1555752
