,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,188966,210467,238691,254081,292758,409393,395089
1,1,83555,75020,85262,92142,115121,199382,212698
2,2,45480,41842,45727,48547,60292,110545,119224
3,3,36378,37298,39320,42087,46647,67934,75205
4,4,79666,84756,85408,85845,88425,70233,69383
5,5,329261,367649,368272,365527,345476,118432,86245
6,6,786536,906779,898019,874623,782893,238876,165437
7,7,1343638,1623694,1590379,1527515,1256594,352692,247472
8,8,1643849,2137880,2095573,1987271,1408636,466107,358466
9,9,1176701,1480848,1450627,1419928,1089598,609062,518566
10,10,895281,988467,983755,992830,919082,734279,646264
11,11,839100,897456,898944,917682,905759,821365,728627
12,12,899063,944233,965621,978376,994451,911754,819655
13,13,1011808,1067802,1104971,1093212,1145355,992521,878915
14,14,1241029,1337747,1349589,1364372,1429524,1072520,939185
15,15,1580164,1745252,1731395,1760350,1781754,1163852,1003521
16,16,1939533,2282947,2335378,2252481,2037171,1291006,1057468
17,17,2583374,3353087,3338338,3151331,2274078,1239279,1103374
18,18,1988778,2546346,2543145,2460301,1797770,1127051,995309
19,19,1222950,1481223,1517530,1509774,1303988,980426,796317
20,20,898912,1056308,1086420,1116608,1007633,808492,683773
21,21,744537,993706,950698,1051419,905420,741066,628610
22,22,587308,768086,824955,849072,933448,856203,518624
23,23,372362,457041,495347,521729,654810,617751,340527
