,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,216428,235993,269834,288174,341570,519900,507929
1,1,94213,81899,93660,101818,133854,265262,285008
2,2,53168,48291,52502,54995,73514,151707,164962
3,3,42142,42259,44799,46465,54106,92392,102718
4,4,100006,106397,106661,107419,110081,90457,90146
5,5,363001,402835,404465,399569,378602,140301,108439
6,6,860935,994800,986011,961949,863270,269550,191009
7,7,1633760,1975951,1938053,1861809,1540371,411815,291834
8,8,2029326,2640064,2593958,2470976,1760491,549536,418481
9,9,1378318,1744650,1724726,1679584,1286005,707367,590077
10,10,1035330,1148915,1153662,1156581,1066780,857545,759740
11,11,983252,1058458,1065700,1078963,1054972,980898,881640
12,12,1063070,1124335,1146819,1160094,1176187,1116651,1006531
13,13,1195240,1264263,1297795,1287613,1359851,1234012,1103341
14,14,1456499,1564484,1575634,1582912,1694495,1343540,1189273
15,15,1834131,2002329,1989955,2012733,2079740,1465665,1266504
16,16,2228298,2534105,2573572,2515807,2360608,1613641,1337082
17,17,2891225,3580118,3582112,3416824,2622105,1575201,1380408
18,18,2297144,2836765,2837698,2763313,2162771,1450526,1260344
19,19,1453509,1726551,1771162,1775154,1607903,1284871,1027131
20,20,1107211,1302485,1322173,1367337,1267404,1059379,870173
21,21,888141,1155922,1120979,1232016,1109685,962494,774049
22,22,682332,884167,945465,1004310,1128124,1033041,623640
23,23,419087,513369,557769,609687,801336,772073,398709
