,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,105502,136338,155131,160321,182083,249279,218614
1,1,42471,43699,50580,52978,63308,107379,110027
2,2,25426,26341,28572,29348,33667,53676,54795
3,3,30202,30926,31602,31877,34413,37682,37529
4,4,77505,84095,83678,84327,82896,50003,44220
5,5,290240,324611,323073,319908,300792,109416,83196
6,6,714932,827775,819352,799803,714708,227716,164003
7,7,1366897,1666511,1650796,1577556,1296872,334144,238313
8,8,1642735,2165184,2149737,2015962,1425047,425299,307117
9,9,1069100,1368118,1357724,1316723,993695,511014,398242
10,10,808028,910810,915255,912568,826589,631233,520036
11,11,796081,853715,874690,879818,850349,774534,654394
12,12,889830,946165,970691,975782,985278,890272,762717
13,13,1003785,1057022,1084160,1081905,1132780,968200,821493
14,14,1241489,1330592,1348054,1346746,1426366,1026037,872729
15,15,1683858,1860422,1834487,1852284,1836718,1098301,912131
16,16,2036996,2352505,2325430,2303694,2067506,1100674,924379
17,17,2451376,3092615,3051938,2921481,2193027,1085180,911636
18,18,1755754,2200786,2191502,2108944,1625450,1009470,822054
19,19,1045429,1241697,1264267,1259516,1103089,842768,648520
20,20,734295,860460,868246,885780,798731,667599,522391
21,21,533654,628794,629934,657823,627010,549535,424684
22,22,414951,509228,502694,535816,531789,467945,336649
23,23,260331,305249,324714,344755,410567,380288,220841
