,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,105024,134155,152890,158346,180117,251454,219976
1,1,40974,41791,48859,51130,61438,109591,108640
2,2,24787,24439,26869,27492,32116,55743,54261
3,3,31097,29438,29592,30453,32710,38476,38175
4,4,80389,81682,80569,80618,79384,55183,48116
5,5,248349,275640,273841,272319,255370,114448,84395
6,6,590184,677210,668183,651613,583404,243834,177268
7,7,1177007,1430834,1414480,1346532,1108015,355202,253976
8,8,1497792,1978327,1959464,1832446,1283989,433429,313689
9,9,990185,1269255,1255865,1217396,913431,508334,402449
10,10,750013,841484,850172,844140,763235,619594,521730
11,11,747898,803194,824154,826147,797237,761299,648130
12,12,839323,890356,917076,918609,925769,875870,755880
13,13,943893,994665,1033015,1016764,1061951,952282,812831
14,14,1172695,1260296,1285307,1273524,1349157,1018256,867452
15,15,1617742,1787232,1772325,1787357,1761885,1146214,932588
16,16,1965711,2286730,2244867,2236472,1987345,1129647,997344
17,17,2379276,3018674,2968308,2842924,2115513,1088615,941121
18,18,1706786,2147594,2134970,2058866,1569074,1012110,818668
19,19,1017529,1214564,1233543,1235874,1067953,852383,644786
20,20,723597,852407,858161,876122,788188,666047,521587
21,21,561531,699930,676107,702958,714888,558979,428493
22,22,428520,548749,541952,571982,583329,481662,348676
23,23,259740,304973,327764,343705,414154,396363,234052
