,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,26200,25850,30325,31918,38451,74156,74802
1,1,11065,10191,11403,12313,15679,38472,42736
2,2,6902,6468,6689,7145,9146,21000,25549
3,3,5837,5867,5880,6052,6760,12590,15073
4,4,14967,15829,15244,15281,15417,13058,12458
5,5,47133,52974,53046,51931,48759,21532,16224
6,6,140571,166457,163506,159749,140435,44241,32255
7,7,379697,481049,470534,448008,358666,78592,54531
8,8,574639,803224,785840,736161,487713,121562,87688
9,9,349921,476224,473881,459672,324875,173712,138638
10,10,226584,262231,266923,266135,236545,219219,195707
11,11,209284,222235,230160,232641,227877,263499,241542
12,12,215114,218005,228623,231163,244225,296280,269320
13,13,230658,235077,240233,240856,267389,305247,278039
14,14,293552,305997,310131,310005,343154,301376,273868
15,15,374395,404589,399651,404647,423270,305879,264667
16,16,437575,474117,466424,474108,462743,314240,264210
17,17,492547,553171,551546,556566,516311,320670,256280
18,18,388672,441791,446401,457602,452816,310753,233274
19,19,237941,268938,275421,287892,317820,254285,175299
20,20,167289,191566,192561,200493,221346,194791,139102
21,21,127923,151214,155298,164953,173728,160447,112610
22,22,97485,135751,129514,137377,154294,146469,92397
23,23,57282,74492,73977,83714,121195,118725,54510
