,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,53354,60436,70342,73724,88157,135665,128633
1,1,24813,24540,27938,29914,39346,78085,79996
2,2,15470,16127,17402,18532,23853,47501,49923
3,3,17189,18915,19468,20027,22278,31805,33924
4,4,49388,58888,58881,58324,58835,33595,31404
5,5,173349,193107,191221,191345,182256,60398,43354
6,6,379629,432200,433304,422033,385778,113984,80103
7,7,644639,760626,750613,727381,631604,171441,118299
8,8,740222,936325,928517,888324,669123,210235,157489
9,9,489004,600941,593539,583181,468048,246771,200098
10,10,379557,419725,419190,419905,391426,292916,250419
11,11,370892,394185,396787,400891,398145,347001,306342
12,12,408069,426765,436634,442203,453892,403973,350922
13,13,461279,476915,489830,490826,518126,451463,397589
14,14,549922,577424,584954,589332,632350,485639,423794
15,15,708684,772029,757673,772936,790234,513949,438678
16,16,864442,973571,963692,960564,892440,517713,440324
17,17,1017792,1252861,1243174,1193902,957566,518983,429608
18,18,732386,888450,896733,877337,729378,486341,397314
19,19,449252,520071,536921,549085,519386,415389,317928
20,20,325204,371019,379608,406895,395009,337223,259640
21,21,240342,277796,284817,309832,311916,277100,213631
22,22,177336,220786,221006,242517,268797,238921,164783
23,23,111403,135209,138092,160177,202218,185193,103047
