,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,85444,86279,102570,109351,143389,258191,246355
1,1,36291,31504,37152,42100,62288,144740,152455
2,2,21811,19146,20950,23976,35623,89711,98363
3,3,18243,16630,16193,17630,23557,57460,66907
4,4,34217,33889,33931,34271,37371,45753,49523
5,5,118499,131408,131451,130795,124578,54256,43611
6,6,269473,313394,309327,303884,273585,96586,69579
7,7,552715,683123,670238,643774,533294,149683,106462
8,8,799923,1098075,1078840,1011917,690385,201509,145721
9,9,538141,727246,730084,701797,512048,268466,210926
10,10,383757,443345,452687,451391,414004,347780,293781
11,11,381401,405698,423154,419116,426382,437686,379480
12,12,423681,433966,460322,449678,484518,538922,463715
13,13,484596,496649,522651,507296,560819,619031,531175
14,14,614900,647300,660954,653627,717296,661614,575751
15,15,776064,835677,823402,837877,873064,708196,591824
16,16,863201,943754,937791,944623,924338,721983,604584
17,17,964921,1139930,1138328,1129904,991825,716201,586059
18,18,844943,1028299,1032190,1038780,916925,701562,558413
19,19,600931,710120,734553,746792,747356,631060,456591
20,20,465714,562073,565566,589465,593405,500508,375842
21,21,373905,473658,477947,499113,515431,440792,320590
22,22,301038,400147,407660,440213,487573,415081,270814
23,23,180275,233458,243403,290351,386802,355576,169611
