,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,205850,234445,269701,285870,335454,491607,475011
1,1,89910,79516,91818,99827,130214,251909,270096
2,2,50000,45568,49781,52510,69671,144687,157247
3,3,37967,37973,40455,42605,49684,87235,97969
4,4,79279,82848,81926,84135,87107,82583,83704
5,5,363930,405161,405569,402445,381561,135565,99684
6,6,858535,985456,975157,952761,864886,268958,186151
7,7,1569122,1879707,1848156,1779862,1489250,411302,285347
8,8,2011668,2595751,2548492,2430120,1759869,558431,414888
9,9,1392359,1751004,1731566,1691760,1314605,718296,595336
10,10,1043445,1161076,1163617,1169572,1087203,859497,752298
11,11,969178,1039847,1049431,1061520,1050335,964732,852733
12,12,1036070,1095730,1118809,1126968,1154119,1076049,958663
13,13,1174196,1248331,1272832,1270731,1345370,1182526,1043700
14,14,1441638,1550510,1565975,1569242,1674442,1285558,1114833
15,15,1782407,1956493,1943119,1970266,2041042,1396451,1187130
16,16,2187810,2524152,2551577,2492353,2322344,1511327,1238975
17,17,2944410,3725853,3694969,3514663,2598837,1468206,1278287
18,18,2340027,2937387,2912251,2829145,2129616,1350746,1171124
19,19,1446982,1739205,1776180,1774054,1577689,1202291,948002
20,20,1070080,1259382,1286373,1326329,1226441,988576,799302
21,21,849061,1116340,1078224,1183302,1061389,892961,710073
22,22,650055,857200,903068,952434,1057525,970090,579225
23,23,406240,505683,541543,584166,753896,725578,377517
