,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,179127,196834,231835,240225,278480,412723,399451
1,1,75758,66204,78289,82070,104382,195603,211783
2,2,39640,35401,39775,41129,53228,102199,111427
3,3,28720,28355,30936,31690,36724,60474,66921
4,4,56596,57800,58524,58425,61958,58909,58398
5,5,236616,261551,261991,258794,247044,93026,70290
6,6,626643,717868,708706,693700,624095,204945,146797
7,7,1203157,1447565,1419262,1365618,1137204,330642,241961
8,8,1525288,1965539,1943793,1846184,1340114,460173,360991
9,9,1101851,1375432,1365688,1321455,1039819,625309,527370
10,10,848430,925757,934016,927127,868555,749995,649843
11,11,819296,865426,872047,877943,869462,862900,749936
12,12,894117,935375,954627,954109,977241,967827,862220
13,13,1003430,1050752,1080488,1063968,1132091,1068175,933288
14,14,1244203,1327500,1339043,1332425,1431234,1172703,1021937
15,15,1585759,1722582,1707579,1718649,1772297,1303198,1119056
16,16,1907224,2161923,2197529,2127755,2011243,1456548,1199501
17,17,2559201,3160767,3146594,2981121,2270046,1413522,1259777
18,18,2023211,2498374,2481617,2388569,1846268,1291997,1136559
19,19,1250392,1471666,1501385,1487599,1339407,1111366,922606
20,20,944645,1099117,1118998,1145130,1059542,932856,772224
21,21,761457,1019438,967968,1075465,954110,830409,666128
22,22,614418,805430,866220,895930,976949,893264,539969
23,23,369889,454943,509138,525073,689006,677461,346654
