,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,179000,197957,228981,242819,281067,397904,403935
1,1,77338,67084,77401,82753,105798,188196,209554
2,2,40450,35814,40535,42252,54608,100282,112779
3,3,29841,29680,32016,33220,38216,59742,66170
4,4,60532,62939,63131,62276,64771,56293,56605
5,5,267403,297106,299147,295766,276389,94629,72398
6,6,661035,763372,759553,737217,652545,206801,152655
7,7,1348526,1642733,1630752,1556201,1256960,346440,256635
8,8,1801508,2337398,2339054,2194598,1536569,497905,389697
9,9,1260767,1603371,1612928,1549990,1155989,670142,581131
10,10,943459,1039698,1060383,1053044,956625,819374,745798
11,11,913591,972474,994274,991604,971289,957800,872550
12,12,988592,1050833,1081842,1077910,1079886,1074637,994905
13,13,1102978,1163923,1216047,1185729,1232509,1158881,1054450
14,14,1337083,1435155,1457323,1457967,1522818,1208539,1106281
15,15,1737345,1918505,1891577,1916759,1912932,1310566,1151181
16,16,2063743,2383227,2426692,2356497,2116783,1459492,1213011
17,17,2575491,3235636,3251011,3087222,2310395,1428143,1265766
18,18,1998915,2495981,2493981,2435435,1895102,1308855,1144246
19,19,1283793,1525725,1561710,1550803,1411182,1150644,909001
20,20,972323,1123111,1148955,1177341,1078936,906514,757968
21,21,780132,1051131,996922,1114704,968995,831984,665770
22,22,615510,811275,877676,910596,1014432,935414,538550
23,23,377254,468837,509746,534960,701393,681675,347230
