,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,166301,180319,209137,219407,254099,382864,372614
1,1,70931,60984,72056,75401,95861,181018,196946
2,2,37429,32820,37483,38584,50172,95184,104072
3,3,26884,26824,29681,30469,34691,55681,61911
4,4,57027,61104,61855,60683,63553,53949,53719
5,5,244279,271750,272328,268815,253029,88812,67604
6,6,654886,755805,748006,731464,649245,193388,142297
7,7,1300042,1579735,1549425,1485924,1214872,321401,243525
8,8,1695709,2233330,2205455,2082202,1448765,442398,356384
9,9,1160210,1481985,1472513,1422773,1069084,583908,491622
10,10,850711,944020,953645,945207,868991,719861,627718
11,11,832683,887674,896377,898370,887881,853100,750533
12,12,907113,949549,977297,973076,990925,972114,870443
13,13,1020057,1062289,1097721,1079860,1148607,1075551,946310
14,14,1239291,1316629,1324350,1321923,1426192,1155283,1024605
15,15,1575688,1704848,1691585,1702999,1753727,1265350,1098239
16,16,1861532,2096752,2138946,2076213,1968389,1404522,1168081
17,17,2426075,2961313,2963317,2826651,2222404,1367712,1220997
18,18,1938522,2373711,2368983,2298072,1840911,1263167,1104016
19,19,1231446,1438663,1475065,1466719,1355794,1103199,901879
20,20,939484,1087034,1105967,1132524,1062498,921522,758742
21,21,744856,977980,936781,1033544,926440,808493,638537
22,22,589309,765329,820917,850073,936235,846804,507276
23,23,348849,428262,475787,491058,650908,634217,324722
