,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,222587,252464,293896,304658,354600,516439,496636
1,1,93889,84805,99119,105232,133151,244703,264162
2,2,52129,47892,53115,55298,69982,131450,142640
3,3,43515,43645,45808,47625,53548,81800,90804
4,4,94746,99400,98822,100447,102175,87614,85012
5,5,413939,459211,460119,454148,429591,160346,120110
6,6,996700,1146075,1132250,1104302,997302,325714,229825
7,7,1907970,2292270,2253432,2175207,1816220,511098,363531
8,8,2393133,3087139,3040911,2889066,2120303,686836,517023
9,9,1655355,2066726,2049498,1993924,1568826,884437,734573
10,10,1287947,1428522,1432267,1430308,1331141,1073369,927842
11,11,1247649,1332840,1352013,1356303,1327831,1244964,1085760
12,12,1368507,1444810,1474037,1478968,1485923,1413784,1249220
13,13,1543303,1621924,1667553,1642421,1727501,1576592,1374939
14,14,1887046,2014349,2037891,2026268,2155180,1720310,1498987
15,15,2430705,2654133,2636047,2650425,2699536,1887291,1611903
16,16,2937791,3349303,3372472,3293863,3062728,2044061,1682915
17,17,3749463,4643594,4623800,4396230,3379562,1983492,1720866
18,18,2860260,3511228,3503933,3389939,2657920,1803033,1554388
19,19,1775669,2074151,2116849,2109164,1895217,1547338,1249610
20,20,1318394,1522797,1537675,1581584,1454546,1260561,1030788
21,21,1022125,1312568,1263973,1390568,1253106,1091192,872826
22,22,788326,1009611,1069863,1122004,1208916,1134898,696649
23,23,481164,584078,640350,671507,858219,839951,442059
