,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,97498,118510,137555,143556,160126,207419,198432
1,1,41921,37543,44092,47052,56927,94779,105233
2,2,20706,18166,21341,21626,26747,46854,53112
3,3,13341,13761,15983,16677,18173,26503,29228
4,4,22272,24384,24571,23798,25234,23205,23966
5,5,137167,154261,156360,154091,142152,34966,26030
6,6,379575,439533,433478,419596,363600,88120,61939
7,7,674859,836283,821513,776671,599083,142318,103884
8,8,858737,1159887,1151673,1075367,702677,208846,165232
9,9,607068,801660,783210,759014,536990,301016,258540
10,10,447011,489892,494557,495434,443599,381954,333494
11,11,415504,438145,438855,447981,434193,436535,389116
12,12,428706,448765,454295,464521,466032,457184,418242
13,13,463185,487772,501781,501592,523373,470401,415486
14,14,552214,598482,608710,611017,644725,499514,435530
15,15,686279,759177,763032,765007,789654,546034,475312
16,16,896111,1068513,1122463,1050951,950727,647257,518841
17,17,1380309,1824553,1819580,1690329,1142007,622967,581232
18,18,1079313,1401709,1399275,1316323,905822,554633,520901
19,19,625906,768676,785305,762190,634443,479488,419323
20,20,453920,526975,548825,550734,492758,407473,365295
21,21,367030,527613,487125,549471,451749,385017,334160
22,22,297155,412655,449097,452022,508959,479405,270423
23,23,193091,236751,263089,263850,326458,329925,177647
