,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,146062,166198,187347,198274,215756,285337,273827
1,1,63190,60128,65781,68776,82571,138492,145138
2,2,36965,35200,36555,37639,43615,70831,78616
3,3,36650,36393,38738,40075,42262,51066,53861
4,4,107084,112628,112131,113648,114214,78149,68390
5,5,450085,498802,500294,496111,472440,156641,104991
6,6,970149,1092332,1091584,1069865,978687,336169,208970
7,7,1620454,1924552,1892884,1828561,1559313,495128,312575
8,8,1826600,2316657,2290285,2185153,1634782,598763,437490
9,9,1250318,1541729,1514510,1486286,1180191,729543,603397
10,10,921783,1000594,1000770,1005141,934959,813532,708868
11,11,802205,837134,846465,850058,834850,836461,743715
12,12,822093,847057,859856,863803,865131,862177,781403
13,13,898983,939068,953448,950999,976587,905941,808830
14,14,1087136,1157508,1165303,1170924,1220620,969758,849252
15,15,1325170,1438272,1428043,1446310,1460106,1031579,894186
16,16,1554168,1778980,1825027,1751569,1616097,1103044,933662
17,17,2077337,2610923,2603087,2442745,1821232,1052498,941183
18,18,1602265,1983391,1971748,1874208,1460267,962287,836349
19,19,976513,1139387,1159273,1137910,1034999,835277,682996
20,20,729296,823285,843625,850970,818964,689978,594314
21,21,587343,787236,744269,791378,734339,630550,534309
22,22,467879,628987,651601,651556,766826,702346,435387
23,23,294206,348010,385207,389544,477632,472352,268942
