,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,121423,155684,176445,184847,212962,310503,276261
1,1,47902,49285,57885,61824,77065,147267,149705
2,2,26417,27276,29921,31816,40324,77216,79092
3,3,27194,27415,28181,29074,34168,49203,52500
4,4,62534,66697,67140,67641,68998,53398,49274
5,5,204365,229164,228381,226570,213971,91464,73956
6,6,505067,586241,579964,567015,500876,181837,135525
7,7,1113491,1367447,1349907,1285200,1035518,288401,215177
8,8,1452121,1943253,1917677,1792538,1228015,374740,276970
9,9,986953,1267085,1252803,1223586,912681,472362,370775
10,10,789093,893150,899478,896402,821429,614987,512273
11,11,809135,885207,903726,912056,888856,774296,653472
12,12,922983,999760,1027432,1032752,1045887,920587,786102
13,13,1049882,1120597,1157541,1157062,1222869,1037869,874181
14,14,1360794,1478179,1485100,1493157,1581882,1137946,955629
15,15,1859783,2039996,2006340,2055432,2035868,1252973,1024329
16,16,2233463,2561520,2523922,2526185,2287663,1269364,1056588
17,17,2699596,3366267,3294302,3207419,2426685,1240191,1028519
18,18,2026334,2537168,2504006,2434356,1861264,1163400,930291
19,19,1264360,1514968,1534861,1531509,1327724,1007019,744371
20,20,895202,1068344,1074314,1105977,982995,776478,584505
21,21,634602,766330,772501,805338,753261,639137,476402
22,22,479054,592132,596706,633113,648237,560238,389526
23,23,306163,364898,374739,416118,503562,452223,255086
