,station_complex,borough,routes,weekend,latitude,longitude,ridership,average
0,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)/Bryant Pk (B,D,F,M)/5 Av (7)",M,"3,C,1,2,S,7,F,M,E,N,R,Q,,B,W,A,D",False,40.75730895996094,-73.98196411132812,35429402,7085880.4
1,"Grand Central-42 St (S,4,5,6,7)",M,"5,S,4,7,6",False,40.75177764892578,-73.97684478759766,21279518,4255903.6
2,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",M,"F,M,N,R,Q,B,W,D",False,40.74971771240234,-73.98782348632812,15434541,3086908.2
3,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,"5,N,R,Q,4,L,W,6",False,40.73573684692383,-73.98995208740234,13808191,2761638.2
4,"Fulton St (A,C,J,Z,2,3,4,5)",M,"J,C,3,2,5,Z,4,A",False,40.71037292480469,-74.0065689086914,12381100,2476220.0
5,"34 St-Penn Station (A,C,E)",M,"C,E,A",False,40.752288818359375,-73.99339294433594,11286809,2257361.8
6,"59 St-Columbus Circle (A,B,C,D,1)",M,"C,1,B,A,D",False,40.76829528808594,-73.98173522949219,10359897,2071979.4
7,"34 St-Penn Station (1,2,3)",M,"3,1,2",False,40.75037384033203,-73.99105834960938,10204712,2040942.4
8,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,"F,M,E,R,,7",False,40.746849060058594,-73.8913345336914,9288982,1857796.4
9,Flushing-Main St (7),Q,7,False,40.75960159301758,-73.83003234863281,9275038,1855007.6
10,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",M,"3,C,E,2,R,,A,W",False,40.714111328125,-74.00858306884766,8740507,1748101.4
11,"Lexington Av-53 St (E,M)/51 St (6)",M,"M,E,,6",False,40.75755310058594,-73.96905517578125,8001923,1600384.6
12,"47-50 Sts-Rockefeller Center (B,D,F,M)",M,"F,M,B,D",False,40.75866317749024,-73.98133087158203,7908026,1581605.2
13,"Lexington Av (N,R,W)/59 St (4,5,6)",M,"5,N,R,4,,W,6",False,40.76266098022461,-73.96725463867188,7901965,1580393.0
14,"14 St (F,M,1,2,3)/6 Av (L)",M,"F,M,3,1,2,,L",False,40.73822784423828,-73.99620819091797,7553901,1510780.2
15,"14 St (A,C,E)/8 Av (L)",M,"C,E,,A,L",False,40.74089431762695,-74.00169372558594,7006226,1401245.2
16,"86 St (4,5,6)",M,"5,4,6",False,40.77949142456055,-73.9555892944336,6906665,1381333.0
17,"Canal St (J,N,Q,R,W,Z,6)",M,"J,N,R,Z,Q,W,6",False,40.71952819824219,-73.99989318847656,6580636,1316127.2
18,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",BK,"3,2,5,N,R,Q,4,B,D",False,40.6844596862793,-73.97689056396484,6394138,1278827.6
19,"West 4 St-Washington Sq (A,B,C,D,E,F,M)",M,"F,M,C,E,B,A,D",False,40.73233795166016,-74.00049591064453,6209490,1241898.0
20,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",M,"F,M,B,,D,6",False,40.72591400146485,-73.99465942382812,5785509,1157101.8
21,"72 St (1,2,3)",M,"3,1,2",False,40.7784538269043,-73.98197174072266,5771344,1154268.8
22,"Jay St-MetroTech (A,C,F,R)",BK,"F,C,R,A",False,40.69233703613281,-73.9859390258789,5279759,1055951.8
23,"96 St (1,2,3)",M,"3,1,2",False,40.79391860961914,-73.97232055664062,5195168,1039033.6
24,Bedford Av (L),BK,L,False,40.71730422973633,-73.95687103271484,5095258,1019051.6
25,"57 St-7 Av (N,Q,R,W)",M,"N,R,Q,W",False,40.76466369628906,-73.98065948486328,4941518,988303.6
26,72 St (Q),M,Q,False,40.768798828125,-73.95842742919922,4531665,906333.0
27,"Court St (R)/Borough Hall (2,3,4,5)",BK,"3,2,5,R,4,",False,40.69409942626953,-73.98999786376953,4495399,899079.8
28,"Delancey St (F)/Essex St (J,M,Z)",M,"F,M,J,Z,",False,40.71861267089844,-73.98743438720703,4407375,881475.0
29,Junction Blvd (7),Q,7,False,40.7491455078125,-73.8695297241211,4331511,866302.2
30,"Jamaica Center-Parsons-Archer (E,J,Z)",Q,"J,E,Z",False,40.7021484375,-73.80110931396484,4323594,864718.8
31,103 St-Corona Plaza (7),Q,7,False,40.7498664855957,-73.86270141601562,4315723,863144.6
32,77 St (6),M,6,False,40.77362060546875,-73.95987701416016,4297608,859521.6
33,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,"J,5,Z,4,,6",False,40.71324157714844,-74.00340270996094,4180159,836031.8
34,"South Ferry (1)/Whitehall St (R,W)",M,"1,R,,W",False,40.703086853027344,-74.01299285888672,4127874,825574.8
35,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Q,"J,E,Z",False,40.70048522949219,-73.80796813964844,4123446,824689.2
36,"Forest Hills-71 Av (E,F,M,R)",Q,"F,M,E,R",False,40.7216911315918,-73.84452056884766,3930997,786199.4
37,33 St (6),M,6,False,40.7460823059082,-73.9820785522461,3904664,780932.8
38,50 St (1),M,1,False,40.76172637939453,-73.98384857177734,3826443,765288.6
39,23 St (6),M,6,False,40.739864349365234,-73.98660278320312,3820971,764194.2
40,"23 St (F,M)",M,"F,M",False,40.74287796020508,-73.9928207397461,3801840,760368.0
41,1 Av (L),M,L,False,40.730953216552734,-73.98162841796875,3761377,752275.4
42,"Grand St (B,D)",M,"B,D",False,40.71826553344727,-73.9937515258789,3759196,751839.2
43,"125 St (A,B,C,D)",M,"C,B,A,D",False,40.81110763549805,-73.95234680175781,3740977,748195.4
44,68 St-Hunter College (6),M,6,False,40.76814270019531,-73.9638671875,3728963,745792.6
45,34 St-Hudson Yards (7),M,7,False,40.7558822631836,-74.00190734863281,3677719,735543.8
46,"Court Sq (E,G,M,7)",Q,"M,E,G,7",False,40.74784469604492,-73.94383239746094,3675837,735167.4
47,"Kew Gardens-Union Turnpike (E,F)",Q,"F,E",False,40.71443939208984,-73.83100891113281,3606731,721346.2
48,86 St (Q),M,Q,False,40.77788925170898,-73.95178985595703,3583476,716695.2
49,"Crown Heights-Utica Av (3,4)",BK,"3,4",False,40.66889572143555,-73.93294525146484,3565561,713112.2
50,"168 St (A,C,1)",M,"C,1,A",False,40.84071731567383,-73.93955993652344,3562207,712441.4
51,"161 St-Yankee Stadium (B,D,4)",BX,"4,B,D",False,40.82799530029297,-73.92565155029297,3561893,712378.6
52,"Bowling Green (4,5)",M,"5,4",False,40.70481872558594,-74.01406860351562,3529226,705845.2
53,"49 St (N,R,W)",M,"N,R,W",False,40.7598991394043,-73.98413848876953,3400107,680021.4
54,"125 St (4,5,6)",M,"5,4,6",False,40.80413818359375,-73.93759155273438,3372089,674417.8
55,"Myrtle-Wyckoff Avs (L,M)",BK,"M,L",False,40.69981384277344,-73.91158294677734,3314352,662870.4
56,"5 Av-53 St (E,M)",M,"M,E",False,40.76016616821289,-73.97522735595703,3306139,661227.8
57,"145 St (A,B,C,D)",M,"C,B,A,D",False,40.82478332519531,-73.9442138671875,3173082,634616.4
58,66 St-Lincoln Center (1),M,1,False,40.77344131469727,-73.98220825195312,3143619,628723.8
59,"Kings Hwy (B,Q)",BK,"Q,B",False,40.60866928100586,-73.95773315429688,3067939,613587.8
60,"50 St (C,E)",M,"C,E",False,40.762454986572266,-73.9859848022461,3049629,609925.8
61,"DeKalb Av (B,Q,R)",BK,"R,Q,B",False,40.69063568115234,-73.98182678222656,2985924,597184.8
62,"23 St (C,E)",M,"C,E",False,40.745906829833984,-73.99803924560547,2985782,597156.4
63,28 St (6),M,6,False,40.74306869506836,-73.98426055908203,2984471,596894.2
64,90 St-Elmhurst Av (7),Q,7,False,40.74840927124024,-73.8766098022461,2951656,590331.2
65,Jamaica-179 St (F),Q,F,False,40.712646484375,-73.7838134765625,2926961,585392.2
66,Woodside-61 St (7),Q,7,False,40.7456283569336,-73.90298461914062,2907683,581536.6
67,"Woodhaven Blvd (M,R)",Q,"M,R",False,40.73310470581055,-73.86923217773438,2891856,578371.2
68,"23 St (R,W)",M,"R,W",False,40.741302490234375,-73.98934173583984,2740612,548122.4
69,"Lexington Av-63 St (F,Q)",M,"F,Q",False,40.76462936401367,-73.96611022949219,2738839,547767.8
70,"Chambers St (1,2,3)",M,"3,1,2",False,40.715476989746094,-74.00926971435547,2726017,545203.4
71,"Canal St (A,C,E)",M,"C,E,A",False,40.7208251953125,-74.0052261352539,2708618,541723.6
72,"Grand Av-Newtown (M,R)",Q,"M,R",False,40.73701477050781,-73.8772201538086,2705628,541125.6
73,96 St (6),M,6,False,40.78567123413086,-73.9510726928711,2697457,539491.4
74,"Wall St (2,3)",M,"3,2",False,40.70682144165039,-74.00910186767578,2683767,536753.4
75,"Flatbush Av-Brooklyn College (2,5)",BK,"2,5",False,40.6328353881836,-73.94763946533203,2671963,534392.6
76,"7 Av (B,D,E)",M,"E,B,D",False,40.76286315917969,-73.98163604736328,2641241,528248.2
77,86 St (1),M,1,False,40.78864288330078,-73.9762191772461,2640350,528070.0
78,96 St (Q),M,Q,False,40.78431701660156,-73.94715118408203,2638884,527776.8
79,"Nostrand Av (A,C)",BK,"C,A",False,40.68043899536133,-73.95042419433594,2545926,509185.2
80,Vernon Blvd-Jackson Av (7),Q,7,False,40.74262619018555,-73.95358276367188,2523806,504761.2
81,2 Av (F),M,F,False,40.7234001159668,-73.98993682861328,2490853,498170.6
82,"Queens Plaza (E,M,R)",Q,"M,E,R",False,40.74897384643555,-73.93724060058594,2456751,491350.2
83,"Wall St (4,5)",M,"5,4",False,40.707557678222656,-74.0118637084961,2392049,478409.8
84,Lorimer St (L)/Metropolitan Av (G),BK,"G,,L",False,40.71406173706055,-73.95027160644531,2384831,476966.2
85,East Broadway (F),M,F,False,40.713714599609375,-73.99017333984375,2358760,471752.0
86,Astor Place (6),M,6,False,40.73005294799805,-73.99107360839844,2343800,468760.0
