,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,156088,171681,198067,211428,242916,345075,341163
1,1,66804,57447,65868,70323,87522,154208,170502
2,2,34915,31743,35901,36859,45185,78609,87031
3,3,28272,29125,31202,32392,35149,47199,51532
4,4,59542,64503,64808,64174,65442,47794,47012
5,5,269758,300249,301022,297581,277504,90805,67085
6,6,707567,824323,816104,791500,694771,202326,151113
7,7,1405215,1717145,1707842,1624205,1298570,319317,234357
8,8,1858673,2468936,2455871,2300505,1569396,455525,352895
9,9,1264252,1648482,1644122,1580645,1143093,607055,521015
10,10,888310,995106,1008287,1003628,897778,743581,658760
11,11,853105,911407,927461,935358,905084,881598,801563
12,12,920389,968941,999792,1004563,1020616,988176,910205
13,13,1020217,1064754,1110194,1091884,1156035,1061454,968151
14,14,1219040,1304927,1330904,1329570,1413566,1113041,1014981
15,15,1594659,1760093,1738785,1759250,1762520,1193357,1055438
16,16,1958510,2277506,2311109,2244240,2027759,1307569,1099480
17,17,2497933,3194829,3190605,3023625,2259932,1288720,1149844
18,18,1903918,2392976,2406286,2332863,1796127,1180554,1038775
19,19,1161886,1385240,1428582,1420884,1286045,1016955,817774
20,20,858365,992792,1018244,1045067,976031,836646,696419
21,21,682990,898163,856373,951769,846250,741596,602217
22,22,547980,713669,758621,786654,852298,798201,480353
23,23,330128,398641,446073,459018,599784,591460,309519
