,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,165527,181747,208525,222228,253402,357745,352965
1,1,71800,62613,71113,75713,92774,160973,176952
2,2,40048,37220,41211,42045,50358,83411,91549
3,3,37929,38976,40977,41698,44201,53929,56999
4,4,89668,96691,96645,96510,96057,62094,58215
5,5,371101,410796,411365,407905,382065,131397,96684
6,6,925183,1069567,1062294,1033428,920984,278451,203079
7,7,1706760,2071628,2059948,1967715,1607932,410196,296671
8,8,2111808,2769747,2756298,2592669,1822799,552233,418424
9,9,1410157,1816043,1812545,1747676,1291084,698500,588203
10,10,1006569,1125871,1137834,1134020,1020108,831035,728153
11,11,959198,1021362,1038867,1048114,1014434,968743,870264
12,12,1034059,1091565,1118688,1127663,1134461,1079502,980415
13,13,1155736,1205538,1251165,1236182,1294952,1164361,1049426
14,14,1378183,1472919,1499132,1499587,1584846,1221541,1099401
15,15,1778254,1962986,1939365,1960242,1959685,1292533,1130582
16,16,2151821,2488328,2527184,2452894,2222966,1399826,1168461
17,17,2679105,3398380,3397301,3224458,2441024,1375591,1214060
18,18,2016074,2516257,2532771,2456432,1919313,1254928,1094512
19,19,1237077,1467830,1511302,1504130,1370924,1076099,862210
20,20,913526,1053251,1078496,1105342,1035647,882694,732331
21,21,721988,941832,900004,995411,891409,780012,633100
22,22,575072,743538,787856,816886,885328,826679,503700
23,23,347796,417515,465387,478677,621829,610746,325480
