,hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,49223,56203,65827,69153,82970,127885,121035
1,1,22649,22564,25727,27705,36719,73610,75266
2,2,13622,14180,15485,16506,21682,44374,46723
3,3,14557,15921,16359,16807,18868,29051,31197
4,4,40283,46795,46619,46313,46975,28576,26811
5,5,143628,160104,158431,158674,151262,51180,36686
6,6,320786,364777,366479,357100,325172,97034,67811
7,7,541892,639159,630859,611011,529910,146754,100700
8,8,625524,792773,785431,751651,562828,176537,131937
9,9,416275,514237,505679,498298,397326,206402,166795
10,10,325259,360293,358327,360129,335367,249599,212104
11,11,322905,344535,345516,350758,346838,301014,265617
12,12,360959,378601,387284,392860,401702,356389,309675
13,13,408998,423488,435969,436566,460190,404068,354113
14,14,489275,513949,519813,525650,562677,437667,381813
15,15,644219,703120,691751,704475,716926,468801,399980
16,16,791445,896695,887543,884092,815893,474828,404510
17,17,946151,1176585,1166139,1115539,884749,478109,397041
18,18,680640,833261,841239,819000,671337,448163,366848
19,19,414076,481972,498490,508152,475387,382422,294111
20,20,300094,343473,352753,377394,363235,311151,241322
21,21,224030,259583,266586,289533,288767,257106,200250
22,22,165398,207009,207247,227586,251037,222470,153314
23,23,103650,125937,129119,150775,189841,172827,95877
